name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Andhra Pradesh,2022-10-13,32,23.5,28.2,38.7,23.5,32.2,24.7,82.3,1.5,100,16.67,rain,0,0,13.3,9.4,98.9,1008.9,62.5,9.5,259.8,22.4,9,75,2022-10-13T05:59:25,2022-10-13T17:47:53,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-14,30,23.8,26.5,38.8,23.8,29.4,24.8,90.1,30.813,100,12.5,rain,0,0,17.3,9.4,244.6,1008.4,85.5,8.7,183.5,15.8,8,60,2022-10-14T05:59:38,2022-10-14T17:47:12,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-15,28.1,23.3,25.8,32.8,23.3,27.5,24.4,91.7,22.096,100,16.67,rain,0,0,29.5,11.2,37.4,1007.4,80.1,8.2,104.3,8.8,5,30,2022-10-15T05:59:51,2022-10-15T17:46:31,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-16,31.1,23,27.3,39.1,23,31.1,25,87.8,16.729,100,8.33,rain,0,0,24.5,13,75.9,1010,52,9.1,229.8,19.6,8,60,2022-10-16T06:00:04,2022-10-16T17:45:51,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-17,32,23.4,28.2,39.2,23.4,32.7,24.8,82.7,0.108,100,4.17,rain,0,0,18,11.2,83,1011.1,47.2,9.6,246,21.2,9,75,2022-10-17T06:00:18,2022-10-17T17:45:12,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-18,32.9,23.6,27.9,39.2,23.6,31,24.2,81.6,13.799,100,12.5,rain,0,0,10.4,11.2,26.8,1010.1,65.2,8.1,262.6,22.7,9,60,2022-10-18T06:00:32,2022-10-18T17:44:33,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-19,32,23.2,27.3,39.2,23.2,30.5,24.4,85.4,2.652,100,8.33,rain,0,0,15.8,11.2,47.9,1009.6,63.4,8.3,243.5,21,8,60,2022-10-19T06:00:47,2022-10-19T17:43:55,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-20,32,23.1,27.7,39.2,23.1,31,24.1,82.1,0.94,100,8.33,rain,0,0,23,11.2,82.2,1010.7,44.7,8.3,261.4,22.6,9,60,2022-10-20T06:01:02,2022-10-20T17:43:18,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-21,32,23,27.9,37.1,23,30.7,23.8,80.2,1.6,100,16.67,rain,0,0,23.4,18.4,78.3,1011.7,58.1,7,244.9,21.3,9,30,2022-10-21T06:01:18,2022-10-21T17:42:42,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
Andhra Pradesh,2022-10-22,32.1,22.9,27.4,35.8,22.9,29.1,21.8,73.3,0,0,0,,0,0,19.8,14.8,8,1012.1,27.2,8.9,263,22.6,9,10,2022-10-22T06:01:34,2022-10-22T17:42:07,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999"
