name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bihar,2022-10-21,30.7,21.2,25.6,33.5,21.2,26.5,21,77.4,0,0,0,,0,0,16.2,10.2,338.1,1014,20.1,3,235.2,20.3,8,10,2022-10-21T05:49:09,2022-10-21T17:15:57,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-22,31.5,20.6,25.5,33.1,20.6,26.2,20.4,75.8,0,0,0,,0,0,19.1,4.2,355.4,1014.5,8.6,2.7,235.2,20.5,8,10,2022-10-22T05:49:41,2022-10-22T17:15:07,0.96,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-23,32.1,20.1,26.1,33.7,20.1,26.9,19.7,70.1,0,0,0,,0,0,16.9,5.2,320.8,1012,34.7,3.2,229.4,19.9,8,10,2022-10-23T05:50:13,2022-10-23T17:14:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-24,31.7,20,25.9,34.3,20,27.1,20.5,73.6,0,0,0,,0,0,33.8,9.2,334.8,1006.9,42.5,3.4,220.1,19,8,10,2022-10-24T05:50:46,2022-10-24T17:13:28,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-25,32.1,21,25.6,32.6,21,25.9,19,69.2,0,0,0,,0,0,27.4,13.2,277.4,1007.5,10.6,3.5,231.3,20,8,10,2022-10-25T05:51:19,2022-10-25T17:12:40,0,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-26,32,19.2,24.7,31.8,19.2,24.7,17.5,68,0,0,0,,0,0,13.3,7.6,258.3,1011.9,5.5,3.1,232.3,20.2,8,10,2022-10-26T05:51:53,2022-10-26T17:11:53,0.01,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-27,31,17,23.5,30.5,17,23.5,17,70.3,0,0,0,,0,0,10.4,4.2,281.9,1012.3,8.8,3.2,232.7,20.2,8,10,2022-10-27T05:52:27,2022-10-27T17:11:07,0.03,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-28,30.6,17.7,23.3,30.4,17.7,23.3,16.9,70.7,0,0,0,,0,0,10.4,3,205.2,1012.3,5.9,3.1,229.9,20,8,10,2022-10-28T05:53:01,2022-10-28T17:10:22,0.06,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-29,30.1,17.6,23.5,31,17.6,23.8,18.1,74,0,0,0,,0,0,17.3,6.6,350.1,1012.3,2.6,2.8,227.8,19.7,8,10,2022-10-29T05:53:36,2022-10-29T17:09:38,0.1,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-30,30.6,18.7,24.1,31.3,18.7,24.4,18.7,74.2,0,0,0,,0,0,16.2,5.4,350.3,1012.4,20,3,223.6,19.3,8,10,2022-10-30T05:54:12,2022-10-30T17:08:55,0.15,Clear,Partly cloudy throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-10-31,30.6,19.9,24.9,31,19.9,25.1,18.7,70.7,0,0,0,,0,0,13.7,5.4,325.1,1012.5,34.7,3.2,221,19.2,8,10,2022-10-31T05:54:48,2022-10-31T17:08:13,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-01,30.1,19.1,24.8,30.9,19.1,25.1,18.5,69.9,0,0,0,,0,0,15.5,3.9,311.7,1013.2,28.6,3.1,219.5,19,8,10,2022-11-01T05:55:24,2022-11-01T17:07:33,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-02,30.6,18,24.1,30.1,18,24,16.6,66.2,0,0,0,,0,0,15.1,9.4,301,1011.7,9.9,2.8,219.1,18.9,8,10,2022-11-02T05:56:01,2022-11-02T17:06:53,0.32,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-03,31,17.8,23.6,31.5,17.8,23.8,17.3,70.2,0,0,0,,0,0,15.8,5.5,261,1011.1,3.6,3,217.3,18.7,8,10,2022-11-03T05:56:39,2022-11-03T17:06:15,0.37,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-04,31.1,18,23.6,31.3,18,23.8,17.5,71.1,0,0,0,,0,0,6.1,6.4,90.5,1012.6,4.2,3.2,216.6,18.7,8,10,2022-11-04T05:57:17,2022-11-04T17:05:38,0.42,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-05,30,18.3,23.6,30.7,18.3,23.8,18,73.5,0,0,0,,0,0,5.8,4.2,65,1014.2,2.1,2.8,215,18.6,8,10,2022-11-05T05:57:55,2022-11-05T17:05:02,0.45,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-06,30,17.7,23.5,30.5,17.7,23.7,17.9,73.1,0,0,0,,0,0,8.6,7.6,52,1014.4,14.3,3,212,18.2,8,10,2022-11-06T05:58:34,2022-11-06T17:04:28,0.48,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-07,30.6,18.7,23.7,30.6,18.7,23.9,18.2,73.9,0,0,0,,0,0,8.6,3,33.2,1014,27.4,2.8,209.7,18,8,10,2022-11-07T05:59:13,2022-11-07T17:03:55,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-08,30.6,18,23.5,30.8,18,23.7,17.9,73.6,0,0,0,,0,0,8.6,3,17.2,1014.2,18,3,205.7,17.6,7,10,2022-11-08T05:59:53,2022-11-08T17:03:23,0.5,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-09,30,18.2,23.4,30.5,18.2,23.6,17.9,73.9,0,0,0,,0,0,8.6,3,229.8,1014.3,25,2.8,207.4,17.8,7,10,2022-11-09T06:00:33,2022-11-09T17:02:52,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-10,29.6,18.2,23.3,30.7,18.2,23.5,18.3,75.3,0,0,0,,0,0,10.4,4.2,304.9,1014.5,6,2.6,206.2,17.8,7,10,2022-11-10T06:01:13,2022-11-10T17:02:23,0.53,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-11,30,18.6,23.4,30.9,18.6,23.7,18.4,75.1,0,0,0,,0,0,19.1,8.6,300.3,1014.1,0,2.4,203.5,17.4,7,10,2022-11-11T06:01:54,2022-11-11T17:01:55,0.54,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-12,29,16.7,22,28,16.7,21.8,15.2,69.6,0,0,0,,0,0,22,17.3,295.3,1014.1,2.2,2.6,209.7,18.1,8,10,2022-11-12T06:02:35,2022-11-12T17:01:28,0.58,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-13,28.2,14.6,20.6,27.3,14.6,20.4,13,66.1,0,0,0,,0,0,16.2,8.6,258.7,1013.7,0.5,2.8,209.3,18.1,8,10,2022-11-13T06:03:16,2022-11-13T17:01:03,0.62,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-14,27.7,13.7,20.1,27.2,13.7,20,13.5,69.5,0,0,0,,0,0,13.7,5.4,306.9,1014.4,0,2.5,207.6,17.9,8,10,2022-11-14T06:03:58,2022-11-14T17:00:39,0.66,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-15,28,13.7,20.3,27.8,13.7,20.3,14.2,71.2,0,0,0,,0,0,15.5,8,313.8,1013.4,0,2.2,204.5,17.6,7,10,2022-11-15T06:04:40,2022-11-15T17:00:17,0.7,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-16,29.2,15.1,21.6,29.1,15.1,21.6,14.8,68.6,0,0,0,,0,0,20.2,7.2,312.1,1011.9,0,2.9,200.8,17.3,7,10,2022-11-16T06:05:22,2022-11-16T16:59:56,0.75,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-17,28.6,15.5,21.7,28.6,15.5,21.8,15,67.6,0,0,0,,0,0,25.6,9.4,292.8,1012.1,5.9,2.9,198.1,17.1,7,10,2022-11-17T06:06:05,2022-11-17T16:59:37,0.8,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-18,26.9,13,19.7,26.5,13,19.7,11.2,62.1,0,0,0,,0,0,19.8,11.5,297.7,1014.5,2.1,3.2,204.5,17.6,7,10,2022-11-18T06:06:48,2022-11-18T16:59:18,0.85,Clear,Clear conditions throughout the day.,clear-day,"VEGY,42591099999,VEPT,42492099999"
Bihar,2022-11-19,26.5,11.6,18.8,26.5,11.6,18.8,11.5,66.6,0,0,0,,0,0,13,10.4,299.9,1014.3,18.1,2.6,203,17.6,7,10,2022-11-19T06:07:31,2022-11-19T16:59:02,0.89,Clear,Clear conditions throughout the day.,clear-day,"VEGY,VEPT"
Bihar,2022-11-20,26.9,12.7,19.1,26.9,12.7,19.1,12.6,68.5,0,0,0,,0,0,15.8,10.8,278,1012.8,49.5,2.9,193.1,16.6,7,10,2022-11-20T06:08:14,2022-11-20T16:58:47,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEGY,VEPT"
Karnataka,2022-10-21,27.9,19.9,23.3,29.6,19.9,23.5,20,82.6,1,100,25,rain,0,0,27.4,18.1,76.5,1017.1,57.8,5.9,212.3,18.4,9,10,2022-10-21T06:10:44,2022-10-21T17:57:44,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-22,27.9,19.5,23.4,29.1,19.5,23.6,19.1,78.8,0.099,100,4.17,rain,0,0,22.3,14.8,55.1,1017.7,50,5.9,262.5,22.7,9,10,2022-10-22T06:10:54,2022-10-22T17:57:15,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-23,27.9,19.1,23.1,28.1,19.1,23.1,16.1,66.9,0,0,0,,0,0,19.4,11.7,340,1016.8,39.9,6,288.9,24.9,10,10,2022-10-23T06:11:06,2022-10-23T17:56:46,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-24,27.9,17.9,22.2,27.2,17.9,22.1,12,54.7,0,0,0,,0,0,25.6,18.7,306.5,1015.2,34.4,6.4,281.8,24.3,10,10,2022-10-24T06:11:17,2022-10-24T17:56:18,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-25,28.9,16,22.3,28.1,16,22.2,12.3,55.6,0,0,0,,0,0,14.4,16.3,313,1015.9,11.9,6.1,293.3,25.3,10,10,2022-10-25T06:11:29,2022-10-25T17:55:51,0,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-26,28.3,16,22.5,27.6,16,22.4,13.6,60.5,0,0,0,,0,0,16.2,11.2,51.4,1017.1,8.7,6.4,290,24.9,10,10,2022-10-26T06:11:42,2022-10-26T17:55:24,0.01,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-27,28.3,16,22.3,27.8,16,22.3,14.4,63.7,0,0,0,,0,0,18,14.8,63.1,1016.9,27,6.7,290.6,25,10,10,2022-10-27T06:11:56,2022-10-27T17:54:59,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-28,27,18.9,22.3,27.8,18.9,22.4,17.9,78.1,0.101,100,8.33,rain,0,0,30.2,20.5,47.4,1015.9,54.3,5.7,223.2,19.3,9,10,2022-10-28T06:12:10,2022-10-28T17:54:34,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-29,26,18.9,21.8,26,18.9,21.8,19.1,85.4,0.201,100,4.17,rain,0,0,29.5,18.2,71.5,1015.8,68,4.3,217.6,18.9,9,10,2022-10-29T06:12:25,2022-10-29T17:54:11,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-30,26.9,19,22.4,28.7,19,22.6,19.6,85.1,10.774,100,8.33,rain,0,0,31,13.2,61,1016,67.2,5.4,136.3,11.8,4,10,2022-10-30T06:12:40,2022-10-30T17:53:48,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-31,28,18.5,22.9,28.4,18.5,23,17,71.5,0,0,0,,0,0,25.2,16.6,35.8,1015.6,42.5,5.7,255.7,22.2,9,10,2022-10-31T06:12:56,2022-10-31T17:53:26,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-01,24.6,19,21.2,24.6,19,21.2,18.5,85.3,8.082,100,8.33,rain,0,0,29.2,20.3,33.6,1016.3,82.7,4.9,14.9,1.2,1,10,2022-11-01T06:13:12,2022-11-01T17:53:06,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-02,23.7,19,20.6,23.7,19,20.6,19.4,93,2.994,100,8.33,rain,0,0,40.3,22.6,42.5,1015.8,80,5.1,17.6,1.6,1,10,2022-11-02T06:13:30,2022-11-02T17:52:46,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-03,24.9,19,21.5,24.9,19,21.5,19.8,90.3,8.019,100,8.33,rain,0,0,31.7,27.3,59.8,1015.6,79.9,5.4,104.3,8.9,7,10,2022-11-03T06:13:48,2022-11-03T17:52:27,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-04,26,19.9,22.2,26,19.9,22.2,20.1,88.7,0.025,100,4.17,rain,0,0,29.5,18.4,81.2,1016.8,66.3,6.4,195.1,16.9,8,10,2022-11-04T06:14:06,2022-11-04T17:52:09,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-05,27,19,22.8,28.5,19,23,19.3,82.2,0.1,100,4.17,rain,0,0,29.9,18.2,90.8,1018.3,53.3,5.8,243.5,21,9,10,2022-11-05T06:14:25,2022-11-05T17:51:53,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-06,26.6,19,22.3,26.6,19,22.3,19.2,83.6,3.975,100,4.17,rain,0,0,28.1,20.7,74.1,1018.8,66.5,5.3,190.1,16.4,9,10,2022-11-06T06:14:45,2022-11-06T17:51:37,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-07,28,18.9,22.7,28.2,18.9,22.8,16.7,71.6,0,0,0,,0,0,19.1,13,63.5,1018.1,38.2,5.5,271.6,23.3,9,10,2022-11-07T06:15:05,2022-11-07T17:51:23,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-08,28,17,22.8,28.5,17,22.9,16.8,71.8,0,0,0,,0,0,22,14.6,54,1017.7,38.4,5.4,257.3,22.1,9,10,2022-11-08T06:15:26,2022-11-08T17:51:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-09,27.9,17.9,22.5,27.9,17.9,22.5,16,69.7,0,0,0,,0,0,22,14.8,46.8,1017.3,40.1,6.1,260.7,22.4,9,10,2022-11-09T06:15:48,2022-11-09T17:50:57,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-10,27.9,17.5,22.2,28.8,17.5,22.3,17.5,76.4,0.2,100,8.33,rain,0,0,34.6,18,52.5,1016.8,44.7,5,232.5,20.1,9,10,2022-11-10T06:16:10,2022-11-10T17:50:45,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
