name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
haryana,13-10-2022,32.1,20.8,25.4,31.4,20.8,25.6,19.3,72.1,0,0,0,,0,0,22,16.9,283.2,1012.4,7.3,3.7,213.8,18.4,8,10,2022-10-13T06:19:59,2022-10-13T17:53:45,0.57,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
haryana,14-10-2022,30.5,21,25.4,31.5,21,25.7,19.4,71.5,0,0,0,,0,0,14.8,13,288.5,1012.2,0.4,2.8,216.7,18.6,8,10,2022-10-14T06:20:34,2022-10-14T17:52:41,0.61,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
haryana,15-10-2022,32,21,25.8,31.6,21,26.1,19.1,69.6,0,0,0,,0,0,10.8,13,291.4,1011.5,3.3,2.4,215.6,18.6,8,10,2022-10-15T06:21:09,2022-10-15T17:51:39,0.65,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
haryana,16-10-2022,32,21.3,26.6,31.9,21.3,26.7,17.3,59.4,0,0,0,,0,0,10.1,7.6,242.2,1013.5,0,6.8,211.9,18.1,8,10,2022-10-16T06:21:45,2022-10-16T17:50:37,0.7,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,remote"
haryana,17-10-2022,31.3,22,26.6,31.4,22,26.6,16.1,55.2,0,0,0,,0,0,13,9.4,246.4,1013.5,0,7,212.1,18.1,8,10,2022-10-17T06:22:21,2022-10-17T17:49:35,0.74,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
haryana,18-10-2022,33,20,26,31.6,20,25.8,15,54.4,0,0,0,,0,0,14.4,7.6,246.1,1012.1,0,3.6,210.6,18.1,8,10,2022-10-18T06:22:57,2022-10-18T17:48:35,0.79,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
haryana,19-10-2022,33,20.7,26.6,31.9,20.7,26.3,14.3,49,0,0,0,,0,0,16.9,9.4,197.5,1011.8,0,3.1,207.2,18,7,10,2022-10-19T06:23:34,2022-10-19T17:47:35,0.84,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
haryana,20-10-2022,33,20.1,26.4,32.3,20.1,26.1,14.8,52.1,0,0,0,,0,0,19.4,7.6,120,1013.5,15.1,3.2,204.6,17.7,7,10,2022-10-20T06:24:11,2022-10-20T17:46:36,0.88,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
haryana,21-10-2022,32.2,20,26.3,31.2,20,25.9,15.1,53.9,0,0,0,,0,0,18,7.6,276.4,1015.8,23.3,2.8,204.4,17.6,7,10,2022-10-21T06:24:49,2022-10-21T17:45:38,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
haryana,22-10-2022,31,20,25.2,30.2,20,25,14.9,55.6,0,0,0,,0,0,17.6,13,281,1017,2.5,2.8,204.5,17.6,7,10,2022-10-22T06:25:27,2022-10-22T17:44:41,0.96,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999"
