name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Karnataka,2022-10-21,27.9,19.9,23.3,29.6,19.9,23.5,20,82.6,1,100,25,rain,0,0,27.4,18.1,76.5,1017.1,57.8,5.9,212.3,18.4,9,10,2022-10-21T06:10:44,2022-10-21T17:57:44,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-22,27.9,19.5,23.4,29.1,19.5,23.6,19.1,78.8,0.099,100,4.17,rain,0,0,22.3,14.8,55.1,1017.7,50,5.9,262.5,22.7,9,10,2022-10-22T06:10:54,2022-10-22T17:57:15,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-23,27.9,19.1,23.1,28.1,19.1,23.1,16.1,66.9,0,0,0,,0,0,19.4,11.7,340,1016.8,39.9,6,288.9,24.9,10,10,2022-10-23T06:11:06,2022-10-23T17:56:46,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-24,27.9,17.9,22.2,27.2,17.9,22.1,12,54.7,0,0,0,,0,0,25.6,18.7,306.5,1015.2,34.4,6.4,281.8,24.3,10,10,2022-10-24T06:11:17,2022-10-24T17:56:18,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-25,28.9,16,22.3,28.1,16,22.2,12.3,55.6,0,0,0,,0,0,14.4,16.3,313,1015.9,11.9,6.1,293.3,25.3,10,10,2022-10-25T06:11:29,2022-10-25T17:55:51,0,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-26,28.3,16,22.5,27.6,16,22.4,13.6,60.5,0,0,0,,0,0,16.2,11.2,51.4,1017.1,8.7,6.4,290,24.9,10,10,2022-10-26T06:11:42,2022-10-26T17:55:24,0.01,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-27,28.3,16,22.3,27.8,16,22.3,14.4,63.7,0,0,0,,0,0,18,14.8,63.1,1016.9,27,6.7,290.6,25,10,10,2022-10-27T06:11:56,2022-10-27T17:54:59,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-28,27,18.9,22.3,27.8,18.9,22.4,17.9,78.1,0.101,100,8.33,rain,0,0,30.2,20.5,47.4,1015.9,54.3,5.7,223.2,19.3,9,10,2022-10-28T06:12:10,2022-10-28T17:54:34,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-29,26,18.9,21.8,26,18.9,21.8,19.1,85.4,0.201,100,4.17,rain,0,0,29.5,18.2,71.5,1015.8,68,4.3,217.6,18.9,9,10,2022-10-29T06:12:25,2022-10-29T17:54:11,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-30,26.9,19,22.4,28.7,19,22.6,19.6,85.1,10.774,100,8.33,rain,0,0,31,13.2,61,1016,67.2,5.4,136.3,11.8,4,10,2022-10-30T06:12:40,2022-10-30T17:53:48,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-10-31,28,18.5,22.9,28.4,18.5,23,17,71.5,0,0,0,,0,0,25.2,16.6,35.8,1015.6,42.5,5.7,255.7,22.2,9,10,2022-10-31T06:12:56,2022-10-31T17:53:26,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-01,24.6,19,21.2,24.6,19,21.2,18.5,85.3,8.082,100,8.33,rain,0,0,29.2,20.3,33.6,1016.3,82.7,4.9,14.9,1.2,1,10,2022-11-01T06:13:12,2022-11-01T17:53:06,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-02,23.7,19,20.6,23.7,19,20.6,19.4,93,2.994,100,8.33,rain,0,0,40.3,22.6,42.5,1015.8,80,5.1,17.6,1.6,1,10,2022-11-02T06:13:30,2022-11-02T17:52:46,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-03,24.9,19,21.5,24.9,19,21.5,19.8,90.3,8.019,100,8.33,rain,0,0,31.7,27.3,59.8,1015.6,79.9,5.4,104.3,8.9,7,10,2022-11-03T06:13:48,2022-11-03T17:52:27,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-04,26,19.9,22.2,26,19.9,22.2,20.1,88.7,0.025,100,4.17,rain,0,0,29.5,18.4,81.2,1016.8,66.3,6.4,195.1,16.9,8,10,2022-11-04T06:14:06,2022-11-04T17:52:09,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-05,27,19,22.8,28.5,19,23,19.3,82.2,0.1,100,4.17,rain,0,0,29.9,18.2,90.8,1018.3,53.3,5.8,243.5,21,9,10,2022-11-05T06:14:25,2022-11-05T17:51:53,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-06,26.6,19,22.3,26.6,19,22.3,19.2,83.6,3.975,100,4.17,rain,0,0,28.1,20.7,74.1,1018.8,66.5,5.3,190.1,16.4,9,10,2022-11-06T06:14:45,2022-11-06T17:51:37,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-07,28,18.9,22.7,28.2,18.9,22.8,16.7,71.6,0,0,0,,0,0,19.1,13,63.5,1018.1,38.2,5.5,271.6,23.3,9,10,2022-11-07T06:15:05,2022-11-07T17:51:23,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-08,28,17,22.8,28.5,17,22.9,16.8,71.8,0,0,0,,0,0,22,14.6,54,1017.7,38.4,5.4,257.3,22.1,9,10,2022-11-08T06:15:26,2022-11-08T17:51:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-09,27.9,17.9,22.5,27.9,17.9,22.5,16,69.7,0,0,0,,0,0,22,14.8,46.8,1017.3,40.1,6.1,260.7,22.4,9,10,2022-11-09T06:15:48,2022-11-09T17:50:57,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-10,27.9,17.5,22.2,28.8,17.5,22.3,17.5,76.4,0.2,100,8.33,rain,0,0,34.6,18,52.5,1016.8,44.7,5,232.5,20.1,9,10,2022-11-10T06:16:10,2022-11-10T17:50:45,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-11,22,19,20.6,22,19,20.6,18.3,87.1,0.201,100,8.33,rain,0,0,46.8,22.2,40,1016.3,75.1,3.7,45.1,4,2,10,2022-11-11T06:16:33,2022-11-11T17:50:35,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-12,21.9,19,20.4,21.9,19,20.4,19.4,94.3,10.931,100,12.5,rain,0,0,49.3,19.4,31.4,1016,93.7,3.7,17.1,1.6,1,10,2022-11-12T06:16:57,2022-11-12T17:50:26,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-13,23.9,19.9,21.4,23.9,19.9,21.4,20,91.7,10.145,100,16.67,rain,0,0,38.5,20.3,75.7,1016.8,81.6,5.7,160,13.9,7,30,2022-11-13T06:17:21,2022-11-13T17:50:18,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-14,27,19,21.9,28.4,19,22,19.1,85.5,0.795,100,4.17,rain,0,0,36.4,11.4,70.2,1017.6,61.5,5.6,193.1,16.5,7,10,2022-11-14T06:17:46,2022-11-14T17:50:11,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-15,26.9,18,22.5,28.1,18,22.5,18.8,81.1,0.006,100,4.17,rain,0,0,30.6,14.7,64.4,1017.7,62.6,5.3,205.8,17.7,9,10,2022-11-15T06:18:11,2022-11-15T17:50:05,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-16,28.9,18,22.6,29.4,18,22.8,18.1,77.6,0.4,100,12.5,rain,0,0,28.8,11.1,50.8,1016.5,55.8,4.8,181.2,15.6,9,10,2022-11-16T06:18:37,2022-11-16T17:50:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-17,27.3,16.9,21.5,27.4,16.9,21.5,15.2,71,0,0,0,,0,0,21.6,18.1,38.3,1016,42.9,4.9,265.7,22.9,9,10,2022-11-17T06:19:03,2022-11-17T17:49:57,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Karnataka,2022-11-18,26.9,16,21,26.9,16,21,12.3,59.5,0,0,0,,0,0,21.2,18.3,32.9,1016.3,35.3,5.6,251.1,21.5,9,10,2022-11-18T06:19:30,2022-11-18T17:49:55,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43295099999"
Karnataka,2022-11-19,26.9,15,20.4,26.9,15,20.4,13.8,69.1,0,0,0,,0,0,22.3,16.6,39.3,1016,25.1,5.4,253.7,21.9,9,10,2022-11-19T06:19:58,2022-11-19T17:49:54,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOBG,VOBL"
Karnataka,2022-11-20,23.9,15,19.6,23.9,15,19.6,14.3,73.4,0,0,0,,0,0,17.3,14.8,12.5,1014.6,37.5,5.4,244.5,21.2,9,10,2022-11-20T06:20:26,2022-11-20T17:49:54,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOBG,VOBL"
