name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madhya Pradesh,2022-10-21,31,18,23.9,29,18,23.5,10.8,47.1,0,0,0,,0,0,17.6,14,50.2,1016.2,9.5,10.1,247.3,21.2,9,10,2022-10-21T06:19:51,2022-10-21T17:49:57,0.92,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-22,31.1,16.4,23.2,29.3,16.4,22.8,10.9,48.2,0,0,0,,0,0,20.5,15.5,61.7,1017.1,1.8,17.6,247.1,21.2,9,10,2022-10-22T06:20:19,2022-10-22T17:49:09,0.96,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-23,31,16.5,23.7,29.2,16.5,23.2,9.7,44.9,0,0,0,,0,0,20.2,18.4,359.9,1015.9,1.5,11.7,244.3,21,9,10,2022-10-23T06:20:48,2022-10-23T17:48:23,0.98,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-24,33.1,15,22.6,31.4,15,22.2,9.4,46.9,0,0,0,,0,0,20.2,24.1,338.8,1012.3,0,9.9,246,21.1,9,10,2022-10-24T06:21:17,2022-10-24T17:47:38,1,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-25,30.8,15,22.7,29,15,22.2,8.9,44.7,0,0,0,,0,0,20.2,18.4,311.1,1011.9,0,10.6,246.2,21.2,9,10,2022-10-25T06:21:46,2022-10-25T17:46:53,0,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-26,32,16,24.4,29.9,16,23.8,8.8,41.3,0,0,0,,0,0,11.5,11.2,222.4,1014.7,0,9.3,241.3,20.9,8,10,2022-10-26T06:22:17,2022-10-26T17:46:09,0.01,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-27,32,16.9,24.1,29.9,16.9,23.5,10.1,45,0,0,0,,0,0,12.6,13,79.1,1015,0,8.5,239.4,20.6,8,10,2022-10-27T06:22:47,2022-10-27T17:45:27,0.03,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-28,32,16.6,24.5,30,16.6,24,10.4,44.3,0,0,0,,0,0,13.3,11.2,73.2,1014.3,4.2,8.7,237.3,20.6,8,10,2022-10-28T06:23:18,2022-10-28T17:44:45,0.06,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-29,32,16,24.4,30,16,23.9,10.6,44.9,0,0,0,,0,0,13,11.1,64.7,1014.3,6.8,9.4,235,20.5,8,10,2022-10-29T06:23:50,2022-10-29T17:44:05,0.1,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
Madhya Pradesh,2022-10-30,30.1,17,23.4,28.8,17,23,10.3,46.3,0,0,0,,0,0,10.1,13,20.4,1015.1,0,8.6,234.3,20.2,8,10,2022-10-30T06:24:22,2022-10-30T17:43:25,0.15,Clear,Clear conditions throughout the day.,clear-day,"VABP,42672099999,42667099999,42763099999,remote"
