name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mizoram,2022-10-21,31.6,17.2,23.5,35.6,17.2,24.5,18.2,74.1,0,0,0,,0,0,8.6,7.6,107.7,1013.4,1.3,16.8,248.3,21.6,9,10,2022-10-21T05:19:00,2022-10-21T16:48:20,0.92,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,2022-10-22,32.1,17.9,24.3,39.1,17.9,25.6,18.7,72.6,0,0,0,,0,0,10.4,7.6,110.8,1013.4,31.5,17.9,219.7,18.9,8,10,2022-10-22T05:19:29,2022-10-22T16:47:32,0.96,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,2022-10-23,28.1,20,22.8,32.1,20,23.6,19.1,79.4,0.1,100,4.17,rain,0,0,8.3,9.4,101.9,1012.8,95.6,17.6,59,5.1,3,10,2022-10-23T05:19:59,2022-10-23T16:46:44,0.98,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42726099999,remote"
Mizoram,2022-10-24,22.2,18.7,19.9,22.2,18.7,19.9,19.8,99,24,100,8.33,rain,0,0,23,14.8,71.3,1007.4,97.1,9,10.7,0.9,1,10,2022-10-24T05:20:29,2022-10-24T16:45:58,1,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42726099999,remote"
Mizoram,2022-10-25,26.7,17.3,21.4,26.7,17.3,21.4,20,92.3,5,100,4.17,rain,0,0,31,22.3,210.2,1009.8,67.7,14.8,181.5,15.7,8,10,2022-10-25T05:21:00,2022-10-25T16:45:12,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42726099999,remote,42727099999"
Mizoram,2022-10-26,27.7,16.6,21,29.5,16.6,21.1,18.3,86.8,0,0,0,,0,0,11.5,7.6,126.9,1013.8,37,16.6,241.4,20.9,8,10,2022-10-26T05:21:31,2022-10-26T16:44:28,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote,42727099999"
Mizoram,2022-10-27,28.5,15.5,20.7,30.8,15.5,21,17,81.7,0,0,0,,0,0,5.8,9.4,109.9,1013.2,20.1,17.3,243.8,21,9,10,2022-10-27T05:22:02,2022-10-27T16:43:45,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42726099999,remote"
Mizoram,2022-10-28,29.4,14.1,20.8,32.9,14.1,21.4,16.2,77.3,0,0,0,,0,0,7.9,11.2,110.6,1012.4,6.3,18.4,243.3,20.9,9,10,2022-10-28T05:22:34,2022-10-28T16:43:02,0.06,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,2022-10-29,30.2,14.9,22.4,35.9,14.9,23.6,17.8,76.6,0,0,0,,0,0,7.6,9.4,107.6,1012.6,15,16.6,237.5,20.6,8,10,2022-10-29T05:23:07,2022-10-29T16:42:21,0.1,Clear,Clear conditions throughout the day.,clear-day,"42726099999,remote,42727099999"
Mizoram,2022-10-30,31.1,17.3,23.2,36.7,17.3,24.6,19.7,82.2,0.1,100,4.17,rain,0,0,7.2,11.2,121.5,1012.3,24.6,17.5,192.8,16.6,8,30,2022-10-30T05:23:40,2022-10-30T16:41:40,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42726099999,remote,42727099999"
