name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nagaland,2022-10-21,25.2,14.9,19.3,25.2,14.9,19.3,12.3,65.4,0.2,100,4.17,rain,0,0,9,9.7,134.5,1016.3,0.4,22.4,244.2,21,9,10,2022-10-21T05:15:10,2022-10-21T16:41:05,0.92,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-10-22,26.1,17.1,20.4,26.1,17.1,20.4,14.9,71.3,1.2,100,20.83,rain,0,0,9.4,9.7,144.3,1016.3,9,21.8,222.8,19.3,8,30,2022-10-22T05:15:43,2022-10-22T16:40:14,0.96,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,2022-10-23,26.1,18.1,20.5,26.1,18.1,20.5,15.2,72.7,2.9,100,25,rain,0,0,7.9,9,153.5,1014.7,85.4,21.8,183.2,15.8,7,30,2022-10-23T05:16:16,2022-10-23T16:39:23,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42527099999,remote"
Nagaland,2022-10-24,19,15.4,16.6,19,15.4,16.6,15.6,94.4,25.9,100,70.83,rain,0,0,14.8,6.5,83.4,1012.4,96.7,10.9,12.4,0.9,1,10,2022-10-24T05:16:50,2022-10-24T16:38:33,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42527099999,remote"
Nagaland,2022-10-25,21.3,15.6,17.8,21.3,15.6,17.8,17.2,96.3,11.7,100,75,rain,0,0,14.4,7.6,91.4,1010.1,63,5.6,144.1,12.4,6,10,2022-10-25T05:17:24,2022-10-25T16:37:44,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42527099999,remote"
Nagaland,2022-10-26,23,15.1,18,23,15.1,18,15.3,85.6,0.9,100,29.17,rain,0,0,8.3,10.1,238.1,1015,28.3,23.2,207.1,17.9,8,10,2022-10-26T05:17:59,2022-10-26T16:36:56,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42527099999,remote"
Nagaland,2022-10-27,22.4,14.9,17.7,22.4,14.9,17.7,15.2,86.4,0.6,100,25,rain,0,0,7.2,9.4,16.3,1014.9,18.7,23.3,213.9,18.4,7,10,2022-10-27T05:18:34,2022-10-27T16:36:09,0.03,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42527099999,remote"
Nagaland,2022-10-28,23.5,14.3,17.8,23.5,14.3,17.8,14.4,82,0.2,100,8.33,rain,0,0,9.4,10.4,143.4,1014.5,4.6,22.1,227.8,19.6,8,10,2022-10-28T05:19:09,2022-10-28T16:35:23,0.06,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,2022-10-29,24.4,14.4,18.4,24.4,14.4,18.4,13.1,72.7,0.1,100,4.17,rain,0,0,9,9.7,145.8,1014.7,1.2,22.4,232.5,20.1,8,10,2022-10-29T05:19:45,2022-10-29T16:34:38,0.1,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-10-30,24.5,15.5,18.7,24.5,15.5,18.7,13.4,72.4,0.4,100,8.33,rain,0,0,8.3,9.7,139.3,1014.5,0.7,21.9,229.1,19.8,8,10,2022-10-30T05:20:22,2022-10-30T16:33:54,0.15,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-10-31,24.5,15,18.6,24.5,15,18.6,11.8,65.9,0,0,0,,0,0,7.9,9.7,153.9,1015.1,0.3,22.4,232.5,20.1,8,10,2022-10-31T05:20:59,2022-10-31T16:33:12,0.21,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,2022-11-01,24,14.8,18.3,24,14.8,18.3,9.9,58.7,0,0,0,,0,0,6.8,9.7,162.1,1015.4,0.4,22.4,228.4,19.8,8,10,2022-11-01T05:21:36,2022-11-01T16:32:30,0.26,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,2022-11-02,24.2,13.8,18.1,24.2,13.8,18.1,7.4,50.8,0,0,0,,0,0,7.9,9.7,163.3,1014,0.5,22.4,228.9,19.7,8,10,2022-11-02T05:22:14,2022-11-02T16:31:50,0.32,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,2022-11-03,23.2,14.7,18.2,23.2,14.7,18.2,12.4,70.5,0.6,100,25,rain,0,0,7.6,10.8,161.8,1013.4,51.2,22.3,201.4,17.5,8,10,2022-11-03T05:22:52,2022-11-03T16:31:11,0.37,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"42527099999,remote"
Nagaland,2022-11-04,23.3,14.6,17.7,23.3,14.6,17.7,14.3,81.5,2.1,100,25,rain,0,0,8.6,10.1,155.1,1015.3,12.4,22.6,215.9,18.8,8,30,2022-11-04T05:23:31,2022-11-04T16:30:33,0.42,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,2022-11-05,22.7,14.5,17.5,22.7,14.5,17.5,13.9,80.1,2.5,100,29.17,rain,0,0,7.6,9.7,162.2,1017.2,0.4,22.3,216.5,18.8,8,30,2022-11-05T05:24:10,2022-11-05T16:29:56,0.45,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42527099999,remote"
Nagaland,2022-11-06,23,14.4,17.3,23,14.4,17.3,13,77.1,1.8,100,25,rain,0,0,6.8,9.7,155.4,1017.5,3.3,22.1,211.6,18.3,7,30,2022-11-06T05:24:50,2022-11-06T16:29:21,0.48,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-07,22.5,14.1,17.2,22.5,14.1,17.2,12.7,75.5,0.7,100,20.83,rain,0,0,7.2,8.6,160.8,1016.8,4.7,22,211.3,18.4,7,10,2022-11-07T05:25:30,2022-11-07T16:28:47,0.49,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"42527099999,remote"
Nagaland,2022-11-08,22.5,13.7,17,22.5,13.7,17,12.5,75.8,0.1,100,4.17,rain,0,0,8.3,10.1,163.4,1016.7,5.9,22.4,209.5,18.1,8,10,2022-11-08T05:26:10,2022-11-08T16:28:14,0.5,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-09,22.4,13.5,17.1,22.4,13.5,17.1,12.9,77.9,0.1,100,4.17,rain,0,0,8.6,10.1,147.7,1016.8,41,23.3,204.6,17.6,7,10,2022-11-09T05:26:51,2022-11-09T16:27:42,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-10,22.5,13.8,17,22.5,13.8,17,12.9,77.4,0.1,100,4.17,rain,0,0,9,10.4,163.4,1016.7,4,22.4,210.4,18.2,8,10,2022-11-10T05:27:32,2022-11-10T16:27:12,0.53,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-11,22.5,13.4,16.8,22.5,13.4,16.8,12.6,77.7,0.1,100,4.17,rain,0,0,9.7,10.4,157.7,1016.2,5.3,22.4,210.4,18.1,8,10,2022-11-11T05:28:14,2022-11-11T16:26:43,0.54,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-12,21.5,13.2,16.5,21.5,13.2,16.5,12.3,77.8,0.4,100,16.67,rain,0,0,8.6,10.4,181.8,1015.8,11.2,22.3,201.3,17.4,8,10,2022-11-12T05:28:56,2022-11-12T16:26:16,0.58,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,2022-11-13,21.4,12.6,16.1,21.4,12.6,16.1,12.3,79.9,0.3,100,12.5,rain,0,0,9,10.8,137,1016,7.8,22.4,200.5,17.4,8,10,2022-11-13T05:29:38,2022-11-13T16:25:50,0.62,Rain,Clear conditions throughout the day with rain.,rain,"42527099999,remote"
Nagaland,2022-11-14,21.8,12.1,15.9,21.8,12.1,15.9,11,74.2,0,0,0,,0,0,8.6,10.4,143,1015.7,0.8,22.4,209.6,18.2,8,10,2022-11-14T05:30:20,2022-11-14T16:25:25,0.66,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,2022-11-15,21.9,12.5,16.1,21.9,12.5,16.1,10.2,69.5,0,0,0,,0,0,7.9,9.7,167.5,1014.8,0,22.4,207.8,17.9,8,10,2022-11-15T05:31:03,2022-11-15T16:25:02,0.7,Clear,Clear conditions throughout the day.,clear-day,"42527099999,remote"
Nagaland,2022-11-16,21.7,12.3,15.8,21.7,12.3,15.8,11.5,76.4,0.2,100,8.33,rain,0,0,9.4,10.4,169.6,1013.9,0.3,22.4,205.9,17.8,8,10,2022-11-16T05:31:46,2022-11-16T16:24:40,0.75,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-17,21.2,12.1,15.6,21.2,12.1,15.6,11.2,76.6,0.1,100,4.17,rain,0,0,9,10.4,156.4,1014.1,0.9,23.2,204.9,17.8,8,10,2022-11-17T05:32:30,2022-11-17T16:24:20,0.8,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42527099999,remote"
Nagaland,2022-11-18,21.5,12,15.7,21.5,12,15.7,10.6,73,0.1,100,4.17,rain,0,0,9.4,10.1,142,1015.7,7.4,24.1,205.6,17.9,8,10,2022-11-18T05:33:13,2022-11-18T16:24:01,0.85,Rain,Clear conditions throughout the day with afternoon rain.,rain,remote
Nagaland,2022-11-19,22.1,12.1,16,22.1,12.1,16,5.5,51,0,0,0,,0,0,7.6,10.1,145.5,1015.7,74.6,24.1,180.2,15.6,7,10,2022-11-19T05:33:57,2022-11-19T16:23:44,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Nagaland,2022-11-20,22.6,12.6,16.7,22.6,12.6,16.7,6.3,52.1,0,0,0,,0,0,7.6,9.7,155.5,1014.1,59.6,24.1,187.1,16.2,7,10,2022-11-20T05:34:41,2022-11-20T16:23:28,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Tripura,2022-10-21,33,21.6,27.1,36.5,21.6,28.7,21.5,74,0,0,0,,0,0,17.6,7.6,12.3,1011.8,2.1,10.1,244.2,21.2,9,10,2022-10-21T05:24:46,2022-10-21T16:53:56,0.92,Clear,Clear conditions throughout the day.,clear-day,"42724099999,VEAT,remote"
Tripura,2022-10-22,34,22.1,27.8,40.6,22.1,31.2,23,76.5,0,0,0,,0,0,16.2,7.6,23.4,1011.8,22.4,9.5,239.2,20.6,8,30,2022-10-22T05:25:16,2022-10-22T16:53:08,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,VEAT,remote"
Tripura,2022-10-23,31,21.9,26.9,39.3,21.9,30.6,24.3,86.2,1,100,4.17,rain,0,0,9.7,7.2,22.6,1010.3,89,7.9,25.1,2.1,1,10,2022-10-23T05:25:45,2022-10-23T16:52:20,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42724099999,41915099999,VEAT,remote"
Tripura,2022-10-24,26.2,20.1,22.1,26.2,20.1,22.1,21.5,96.6,73,100,25,rain,0,0,74.5,33.5,50.8,1004.2,99.8,4.4,5.3,0.4,0,10,2022-10-24T05:26:16,2022-10-24T16:51:34,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,2022-10-25,27,20.2,23.2,29.6,20.2,23.3,21.7,91.6,4,100,8.33,rain,0,0,63,37.8,196.9,1007.7,77.5,8.6,164.7,14.2,7,10,2022-10-25T05:26:46,2022-10-25T16:50:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,2022-10-26,29,19.9,24.2,32,19.9,25.2,21.3,84.7,0,0,0,rain,0,0,14,11.2,46.4,1013.2,18.4,8.8,236,20.4,8,10,2022-10-26T05:27:17,2022-10-26T16:50:04,0.01,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,2022-10-27,30,19.5,24.2,33.3,19.5,25.2,20.8,82.7,0,0,0,,0,0,19.4,9.4,11.4,1012.4,7.2,9.1,238.9,20.7,8,10,2022-10-27T05:27:49,2022-10-27T16:49:20,0.03,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,2022-10-28,30.1,18.6,24.1,35.1,18.6,25.6,21.1,84.5,0,0,0,,0,0,11.2,5.8,346.6,1011.2,20.3,7.8,236.6,20.3,8,10,2022-10-28T05:28:21,2022-10-28T16:48:37,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,2022-10-29,31.4,19.3,25.3,37.7,19.3,27,21.9,82.4,0,0,0,,0,0,11.2,7.6,335.1,1011,15.4,8.9,233,20.1,8,10,2022-10-29T05:28:54,2022-10-29T16:47:56,0.1,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,2022-10-30,32.9,20.9,27,42,20.9,30.6,23.8,83.5,0,0,0,,0,0,6.1,7.6,315.5,1011,21,8.9,225.5,19.4,8,30,2022-10-30T05:29:27,2022-10-30T16:47:15,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
