name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
himachal pradesh,2022-10-13,29.8,10.4,15.7,30.1,10.4,15.7,10.2,71.4,1.4,100,12.5,rain,0,0,6.8,8.3,42.6,1014.4,4.4,17.1,218.5,18.9,8,10,2022-10-13T06:22:27,2022-10-13T17:52:29,0.57,Rain,Clear conditions throughout the day with rain.,rain,"42083099999,42079099999,42078099999,remote,42105099999"
himachal pradesh,2022-10-14,31.1,10.4,16.6,32.5,10.4,16.8,10.1,67.4,0.1,100,4.17,rain,0,0,8.3,11.2,39.5,1014.3,5.1,16.7,218.7,19,8,10,2022-10-14T06:23:08,2022-10-14T17:51:19,0.61,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"42083099999,42079099999,42705299999,42078099999,remote,42105099999"
himachal pradesh,2022-10-15,23.1,10.7,16.9,23.1,10.7,16.9,10.2,67.2,0,0,0,,0,0,8.6,9,25.8,1013.5,0,15.9,217.1,18.8,8,10,2022-10-15T06:23:49,2022-10-15T17:50:11,0.65,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42705299999,42078099999,remote,42105099999"
himachal pradesh,2022-10-16,21.8,10.9,16,21.8,10.9,16,9.7,68.5,0,0,0,,0,0,8.3,8.3,31.2,1015.9,1.3,17.4,216.3,18.6,8,10,2022-10-16T06:24:30,2022-10-16T17:49:03,0.7,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42078099999,remote,42105099999"
himachal pradesh,2022-10-17,22.3,10.7,15.1,22.3,10.7,15.1,9.4,70,0,0,0,,0,0,8.3,8.6,35.2,1016.3,4,19.9,214.1,18.5,8,10,2022-10-17T06:25:12,2022-10-17T17:47:56,0.74,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42705299999,42078099999,remote,42105099999"
himachal pradesh,2022-10-18,21,10.5,15.6,21,10.5,15.6,9,67,0,0,0,,0,0,13,10.1,9.9,1014.5,6.3,16.8,213.5,18.3,8,10,2022-10-18T06:25:54,2022-10-18T17:46:50,0.79,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42705299999,42079099999,42078099999,remote,42105099999"
himachal pradesh,2022-10-19,21,9.6,14.7,21,8.5,14.6,7,61.6,0,0,0,,0,0,14,10.4,27.8,1014.6,5.9,17.6,210,18.1,8,10,2022-10-19T06:26:36,2022-10-19T17:45:44,0.84,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42078099999,remote,42105099999"
himachal pradesh,2022-10-20,20.5,9.7,14.9,20.5,8.4,14.7,6.1,57.1,0,0,0,,0,0,14,9.7,42.4,1016.2,9.4,17.3,206.5,18,7,10,2022-10-20T06:27:19,2022-10-20T17:44:40,0.88,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42078099999,remote,42105099999"
himachal pradesh,2022-10-21,20.4,10.1,14.7,20.4,10.1,14.7,6.1,58,0.903,100,4.17,rain,0,0,9.7,10.4,51.9,1018.5,6.6,18.1,207.6,18.1,8,10,2022-10-21T06:28:02,2022-10-21T17:43:36,0.92,Rain,Clear conditions throughout the day with morning rain.,rain,"42083099999,42079099999,42078099999,remote,42105099999"
himachal pradesh,2022-10-22,19.4,8.8,14.1,19.4,7.2,13.8,5.5,58.1,0,0,0,,0,0,8.3,9.7,54.8,1019.4,2.4,17.4,205.9,18,7,10,2022-10-22T06:28:46,2022-10-22T17:42:34,0.96,Clear,Clear conditions throughout the day.,clear-day,"42083099999,42079099999,42078099999,remote,42105099999"
