SNo,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
1,manipur,13-10-2022,29.7,17.1,22.7,34,17.1,23.5,20.2,86.5,0.2,100,4.17,rain,0,0,7.9,11.2,289,1012.3,46.6,13.9,250.5,21.8,9,30,2022-10-13T05:11:12,2022-10-13T16:49:42,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
2,manipur,14-10-2022,29,17.2,22.4,32.7,17.2,23.2,19.8,86.2,0.2,100,4.17,rain,0,0,10.4,11.2,285.2,1012.1,38.2,15.2,246.8,21.4,9,30,2022-10-14T05:11:39,2022-10-14T16:48:45,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42623099999,VEIM,remote"
3,manipur,15-10-2022,29.5,16.7,23.1,33,16.7,23.8,20.1,84,0.1,100,4.17,rain,0,0,6.8,9.4,314.7,1011.5,43.1,11.9,250.1,21.7,9,30,2022-10-15T05:12:07,2022-10-15T16:47:50,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42623099999,VEIM,remote"
4,manipur,16-10-2022,30,16.9,23.2,33.7,16.9,24.1,20.2,83.9,0.4,100,12.5,rain,0,0,8.3,11.2,136.1,1013.2,31.2,11.8,249.2,21.6,9,30,2022-10-16T05:12:36,2022-10-16T16:46:55,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
5,manipur,17-10-2022,29,17.1,22.6,31.7,17.1,23.3,19.8,85.1,1.9,100,25,rain,0,0,7.6,14.8,89,1013.8,26.7,13.5,235.9,20.3,9,30,2022-10-17T05:13:04,2022-10-17T16:46:00,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
6,manipur,18-10-2022,28,16.1,21.6,31.9,16.1,22.2,19.5,88.1,5.2,100,25,rain,0,0,5.8,7.6,59.7,1013.3,47.7,13,243.4,20.9,8,30,2022-10-18T05:13:34,2022-10-18T16:45:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
7,manipur,19-10-2022,28,15.8,22.1,30.7,15.8,22.4,19.7,87.4,2.9,100,12.5,rain,0,0,6.8,7.6,33.1,1014.1,52.7,10.1,244.1,21.1,8,30,2022-10-19T05:14:04,2022-10-19T16:44:14,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
8,manipur,20-10-2022,28,15.1,21.2,30.5,15.1,21.5,18.6,85.8,0.1,100,4.17,rain,0,0,7.9,7.6,122.4,1014.8,39,10.5,247,21.4,9,10,2022-10-20T05:14:34,2022-10-20T16:43:22,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42623099999,VEIM,remote"
9,manipur,21-10-2022,30,13.7,21.5,32.6,13.7,22.3,17.5,79.2,0,0,0,,0,0,7.9,11.2,88.7,1015.9,14.4,14.3,247,21.3,9,30,2022-10-21T05:15:04,2022-10-21T16:42:31,0.92,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
10,manipur,22-10-2022,30.3,15.5,22.3,32,15.5,22.8,17.9,78.3,0,0,0,,0,0,10.1,16.6,117.3,1016.3,28.8,11.6,240.8,20.8,8,30,2022-10-22T05:15:35,2022-10-22T16:41:41,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
