name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
meghalaya,2022-10-21,31,16.2,24.1,35.5,16.2,24.8,19.5,78,0,0,0,,0,0,16.6,11.2,20.2,1013.8,27.5,4.1,246.5,21.2,9,10,2022-10-21T05:23:55,2022-10-21T16:49:59,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
meghalaya,2022-10-22,31,15.2,23.5,35.5,15.2,24.1,17.8,73.1,0,0,0,,0,0,19.8,20.6,82.4,1013.9,27.4,5.5,242.5,21.1,9,10,2022-10-22T05:24:28,2022-10-22T16:49:08,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
meghalaya,2022-10-23,28,16.6,23.6,32.7,16.6,24.4,20.9,85.5,0.1,100,4.17,rain,0,0,11.2,9.4,30.6,1011.9,80.5,3.9,123.1,10.6,6,10,2022-10-23T05:25:01,2022-10-23T16:48:17,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
meghalaya,2022-10-24,25,13.1,19.6,25,13.1,19.6,18.9,96.1,111.987,100,20.83,rain,0,0,43.2,15.3,88.8,1009,97.3,2.4,7,0.6,0,10,2022-10-24T05:25:34,2022-10-24T16:47:27,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
meghalaya,2022-10-25,22,13.1,19,22,13.1,19,18.1,94.7,85.391,100,16.67,rain,0,0,42.8,14,139.1,1007.4,96.8,2.1,20.9,1.7,2,10,2022-10-25T05:26:08,2022-10-25T16:46:38,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
meghalaya,2022-10-26,27,14.1,20.4,29.6,14.1,20.5,18.7,90.2,0.1,100,4.17,rain,0,0,8.3,18.1,296.9,1012.9,83.8,3.6,165.6,14.3,8,10,2022-10-26T05:26:42,2022-10-26T16:45:51,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
meghalaya,2022-10-27,28,11.4,21.2,30.7,11.4,21.3,17.8,82.5,0,0,0,rain,0,0,6.8,11.9,8.1,1012.9,49.6,3.2,160.5,13.8,8,10,2022-10-27T05:27:17,2022-10-27T16:45:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
meghalaya,2022-10-28,29,12,20.9,32.7,12,21.1,17.2,81.5,0,0,0,,0,0,7.2,20.6,73.9,1012.2,30.5,5.7,239.5,20.8,8,10,2022-10-28T05:27:53,2022-10-28T16:44:18,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
meghalaya,2022-10-29,29,11.9,21.7,32.7,11.9,22,17.7,80.2,0,0,0,,0,0,11.2,13.9,102.1,1012.2,29.4,4.9,235.4,20.3,8,10,2022-10-29T05:28:28,2022-10-29T16:43:33,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,remote,42516099999,42512099999"
meghalaya,2022-10-30,30,13.7,23.1,35.1,13.7,23.9,20.5,86.3,0,0,0,,0,0,9.4,11.2,34.2,1011.9,31.7,3.7,220.4,19,8,10,2022-10-30T05:29:05,2022-10-30T16:42:50,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42410099999,VEGT,42515099999,41891099999,42516099999,42512099999"
