name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Odisha,2022-10-21,31,23,26.6,34.6,23,28,23,82.7,0,0,0,,0,0,18.7,16.6,357.8,1014,13.9,3.3,258.7,22.4,9,10,2022-10-21T05:43:33,2022-10-21T17:18:48,0.92,Clear,Clear conditions throughout the day.,clear-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-22,31,22.4,26.5,35.5,22.4,28.3,22.7,81.1,0,0,0,,0,0,24.1,16.6,344,1013.4,19.4,3.5,255.1,22.1,9,10,2022-10-22T05:43:56,2022-10-22T17:18:06,0.96,Clear,Clear conditions throughout the day.,clear-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-23,29,23,26.3,34.6,23,28.1,23.3,84.2,0,0,0,rain,0,0,38.5,14.8,6.6,1010.3,59.1,3.2,168.7,14.4,7,10,2022-10-23T05:44:19,2022-10-23T17:17:25,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-24,29.6,24,26.3,34.9,24,28.1,23.5,85.2,0,0,0,,0,0,36.4,18.4,310.6,1006,88.7,3.8,127.1,11.1,5,10,2022-10-24T05:44:43,2022-10-24T17:16:44,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,VEBS,42971099999"
Odisha,2022-10-25,32,21.8,26.6,36.8,21.8,28.1,22.6,80.6,0,0,0,,0,0,15.1,9.9,249.5,1010,42.8,4.3,254,22,9,10,2022-10-25T05:45:08,2022-10-25T17:16:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-26,31.5,22,26.2,36.8,22,27.8,22.7,83,0,0,0,,0,0,7.6,7.6,51,1013.3,35.1,4.4,255.3,22.1,9,10,2022-10-26T05:45:33,2022-10-26T17:15:27,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,remote,42971099999"
Odisha,2022-10-27,32,22,26,34.2,22,26.9,21.4,78.6,0,0,0,,0,0,9.7,14.8,321.6,1013.3,43.2,3.6,254.4,22,9,10,2022-10-27T05:45:58,2022-10-27T17:14:50,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-28,31,20,25.4,31.4,20,25.9,20.3,76.3,0,0,0,,0,0,10.8,13,304.5,1012.9,49.3,5.4,253.2,21.9,9,10,2022-10-28T05:46:24,2022-10-28T17:14:13,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-29,30,21.4,25.3,30.4,21.4,25.4,19.3,72.8,0,0,0,,0,0,10.8,15.4,336.1,1012.9,22.4,4.1,253.4,21.9,9,10,2022-10-29T05:46:50,2022-10-29T17:13:38,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-30,30,19,24.3,30.4,19,24.5,19.3,77,0,0,0,,0,0,13.7,9.4,358.1,1013,3.8,3.3,252,21.6,9,10,2022-10-30T05:47:18,2022-10-30T17:13:03,0.15,Clear,Clear conditions throughout the day.,clear-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-10-31,30.2,20.6,25.1,32.6,20.6,25.9,21.1,80.3,0,0,0,,0,0,14,13,349.8,1013,30.2,3.5,240.5,21,8,10,2022-10-31T05:47:45,2022-10-31T17:12:30,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-11-01,31.5,21.2,26.5,35.5,21.2,28.3,22.5,80.4,0,0,0,,0,0,11.2,11.2,4.9,1013.4,20.9,3.8,233,20,8,10,2022-11-01T05:48:13,2022-11-01T17:11:58,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-11-02,31.2,22,26.7,36.6,22,29.1,23.4,83.4,0,0,0,,0,0,18.4,9.4,37.7,1012.3,37,3.5,237.7,20.4,8,10,2022-11-02T05:48:42,2022-11-02T17:11:27,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-11-03,30,23,25.9,34.2,23,27.3,23.3,87,0,0,0,rain,0,0,11.9,9.4,35.8,1012.8,66.5,3.4,219.2,18.9,8,10,2022-11-03T05:49:11,2022-11-03T17:10:57,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
Odisha,2022-11-04,32,20.9,25.4,34.6,20.9,26.1,21.2,81.2,0,0,0,,0,0,10.8,9.4,330.5,1014.2,22.2,3,247.1,21.4,9,10,2022-11-04T05:49:41,2022-11-04T17:10:28,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43053099999,42970099999,VEBS,42971099999"
