name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sikkim,2022-11-13,19.2,3,11.1,19.2,3,10.8,5.4,72.3,0.3,100,12.5,rain,0,0,7.2,11.2,29,1019.3,26.4,18.1,195.5,17,7,10,2022-11-13T05:54:13,2022-11-13T16:45:04,0.62,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"VQPR,remote"
sikkim,2022-11-14,20.3,8.9,13.3,20.3,7.9,13,6.3,63.8,0,9.5,0,,0,0,7.2,7.6,25.7,1016.5,0.6,24.1,198.8,17.2,7,10,2022-11-14T05:54:59,2022-11-14T16:44:36,0.66,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-15,20.9,9.6,13.7,20.9,8.7,13.5,6.1,61.7,0,100,0,rain,0,0,7.6,7.6,24.9,1015,4.6,24.1,197.3,17.1,7,10,2022-11-15T05:55:44,2022-11-15T16:44:11,0.7,Rain,Clear conditions throughout the day with rain.,rain,
sikkim,2022-11-16,20.7,9.4,13.4,20.7,8.4,13.1,5.6,60.8,0,100,0,rain,0,0,9,8.6,31.2,1013.6,7.8,24.1,198,17.1,7,10,2022-11-16T05:56:30,2022-11-16T16:43:46,0.75,Rain,Clear conditions throughout the day with rain.,rain,
sikkim,2022-11-17,20.8,8.6,13.3,20.8,7.3,12.9,4.1,55.4,0,38.1,0,,0,0,8.3,9,27.3,1013.7,2.1,24.1,198.8,17.1,7,10,2022-11-17T05:57:16,2022-11-17T16:43:24,0.8,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-18,21.5,9.1,13.7,21.5,7.7,13.4,3,49.5,0,9.5,0,,0,0,8.3,9,23.3,1014.9,42.1,24.1,185.5,16.1,6,10,2022-11-18T05:58:02,2022-11-18T16:43:03,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sikkim,2022-11-19,22,9.9,14.1,22,8.9,13.8,1.9,44.7,0,4.8,0,,0,0,7.6,8.3,19.1,1016,93.3,24.1,188.6,16.5,6,10,2022-11-19T05:58:48,2022-11-19T16:42:43,0.89,Overcast,Cloudy skies throughout the day.,cloudy,
sikkim,2022-11-20,21.1,9,13.5,21.1,7.7,13.1,-0.5,39.1,0,19,0,,0,0,7.9,8.6,31.2,1014.7,63.8,24.1,197.6,16.8,6,10,2022-11-20T05:59:34,2022-11-20T16:42:25,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sikkim,2022-11-21,20.2,8.6,13,20.2,7.4,12.6,1.1,45.4,0,0,0,,0,0,7.2,7.9,32.8,1014.7,24.2,24.1,196.8,16.8,6,10,2022-11-21T06:00:20,2022-11-21T16:42:08,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sikkim,2022-11-22,19.6,8.7,12.8,19.6,7.6,12.4,3.4,54.3,0,0,0,,0,0,6.5,7.6,43.7,1014.7,3.3,24.1,191.6,16.8,6,10,2022-11-22T06:01:07,2022-11-22T16:41:53,0.99,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-23,19.8,8.9,12.9,19.8,7.9,12.6,4.6,58.6,0,4.8,0,,0,0,6.5,7.2,39.3,1013.1,0,24.1,190,16.8,6,10,2022-11-23T06:01:53,2022-11-23T16:41:40,1,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-24,20.1,8.9,13.3,20.1,7.8,13,4.9,58.2,0,9.5,0,,0,0,6.8,7.6,30.9,1014,0,24.1,188.4,16.2,6,10,2022-11-24T06:02:40,2022-11-24T16:41:28,0,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-25,20.9,10,14.1,20.9,9.1,14,5.9,59.4,0,19,0,,0,0,6.8,7.6,36.4,1014.8,0,24.1,187.5,16.2,6,10,2022-11-25T06:03:26,2022-11-25T16:41:18,0.02,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-26,20.8,10.1,14,20.8,10.1,14,6.1,60.4,0,4.8,0,,0,0,6.5,7.9,43.5,1013.8,0,24.1,186.6,16.2,6,10,2022-11-26T06:04:12,2022-11-26T16:41:09,0.04,Clear,Clear conditions throughout the day.,clear-day,
sikkim,2022-11-27,20.4,9.7,13.7,20.4,8.9,13.6,6.6,63.5,0,0,0,,0,0,6.5,8.3,37.5,1013,0.2,24.1,184.9,16.2,6,10,2022-11-27T06:04:58,2022-11-27T16:41:02,0.08,Clear,Clear conditions throughout the day.,clear-day,
