name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tamil nadu,2022-10-21,31,25,28.4,39.1,25,32.8,24.8,81.3,26.326,100,4.17,rain,0,,23.4,19.4,355.3,1011.1,63.6,5.1,249.8,21.6,9,30,2022-10-21T06:00:02,2022-10-21T17:46:52,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-22,33,25.8,28.2,40.6,25.8,32.2,24.7,82.2,6.695,100,8.33,rain,0,,40,30.8,351.8,1011.1,72.5,4.9,186,16.1,7,30,2022-10-22T06:00:13,2022-10-22T17:46:22,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-23,33.2,25.8,28.5,35.7,25.8,31.5,22.9,72.8,0,0,0,rain,0,,32,21.1,344.1,1009.8,55.9,5.1,269.7,23.1,9,10,2022-10-23T06:00:24,2022-10-23T17:45:53,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-24,33,22.9,28.2,34,22.9,28.9,20.3,65.1,0,0,0,,0,,26.6,14.8,302.7,1008.9,41.6,4.4,266.9,23.1,9,10,2022-10-24T06:00:36,2022-10-24T17:45:25,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMM,43279099999,43278099999"
Tamil nadu,2022-10-25,34,22.4,28.2,35.8,22.4,29.2,19.7,62.1,0,0,0,,0,,18.4,14.8,313.5,1009.8,27.2,4.7,282.3,24.3,10,10,2022-10-25T06:00:49,2022-10-25T17:44:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-26,31.1,24,27.5,32.2,24,28.1,19.2,62.9,0,0,0,,0,,26.3,16.7,354.5,1011.5,28.3,5.3,283.6,24.7,10,10,2022-10-26T06:01:02,2022-10-26T17:44:31,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-27,29.3,24,26.6,36.1,24,28.9,23.4,82.5,6.616,100,12.5,rain,0,,26.6,25.2,336.9,1010.9,77.1,4.4,260.6,22.3,9,10,2022-10-27T06:01:15,2022-10-27T17:44:05,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-28,31.5,24.7,28.1,38.8,24.7,32.1,24.4,80.8,12.177,100,8.33,rain,0,,28.8,25.8,13.2,1010.1,67.4,5.4,269.7,23.2,9,10,2022-10-28T06:01:30,2022-10-28T17:43:41,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-29,29.4,26,28.2,35.9,26,31.9,24,78.2,1.026,100,12.5,rain,0,,29.2,25.8,6.9,1010,77.8,4.6,252.3,21.7,9,10,2022-10-29T06:01:45,2022-10-29T17:43:17,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-30,31,26,28.4,37.4,26,32.4,24.1,77.8,2.814,100,8.33,rain,0,,30.6,27.2,1.4,1010.1,70,4.7,256.8,22.3,9,10,2022-10-30T06:02:00,2022-10-30T17:42:54,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-10-31,28,23.5,25.7,32.7,23.5,26.5,23.9,89.8,47.342,100,16.67,rain,0,,32.4,27.2,347.6,1010.1,91,3.2,79,6.8,6,10,2022-10-31T06:02:16,2022-10-31T17:42:32,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-11-01,25,23.6,24.5,25,23.6,24.5,23.9,96.1,114.536,100,29.17,rain,0,,31,16.9,4.4,1010.9,93.4,2.4,8.2,0.7,0,10,2022-11-01T06:02:33,2022-11-01T17:42:11,0.26,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"23099_maritime,VOMM,43279099999,43278099999"
Tamil nadu,2022-11-02,26.7,23.6,25.1,29.5,23.6,25.2,24,93.8,95.75,100,25,rain,0,,28.4,19.7,342.6,1010.4,92.5,3.1,59.3,5.1,4,10,2022-11-02T06:02:50,2022-11-02T17:41:51,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"23099_maritime,VOMM,43279099999,43278099999"
