name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chhattisgarh,2022-10-21,30.8,18.2,24.3,31,18.2,24.5,17.6,68.3,0,0,0,,0,0,16.9,16.6,52.4,1015,11,10,259.8,22.3,9,10,2022-10-21T06:01:12,2022-10-21T17:34:47,0.92,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-22,30.1,18.4,24.5,30.4,18.4,24.7,17.3,66.3,0,0,0,,0,0,24.1,18.4,36.4,1015.4,7.7,7.5,255.6,22.1,9,10,2022-10-22T06:01:36,2022-10-22T17:34:03,0.96,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-23,31.1,18.1,24.3,31.5,18.1,24.4,16.7,64.4,0,0,0,,0,0,25.6,16.6,9.2,1013.1,1.2,7.2,256.2,22.2,9,10,2022-10-23T06:02:02,2022-10-23T17:33:21,0.98,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-24,31.1,17.7,24.6,32.2,17.7,24.8,16.3,61,0,0,0,,0,0,23.4,11.9,318.4,1009.4,29.8,8.4,248.2,21.6,9,10,2022-10-24T06:02:27,2022-10-24T17:32:39,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-25,31.1,18.5,24.1,31.2,18.5,24.2,17.2,67.3,0,0,0,,0,0,13.3,14.8,242.9,1010.9,6.6,9.9,252.8,22,9,10,2022-10-25T06:02:53,2022-10-25T17:31:58,0,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-26,31,17.4,24.1,30.3,17.4,24,15.8,63,0,0,0,,0,0,7.9,9.4,106.8,1013.7,0,7.6,252.5,21.8,9,10,2022-10-26T06:03:20,2022-10-26T17:31:18,0.01,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-27,30.3,17.9,23.9,29.8,17.9,23.8,15.5,62.1,0,0,0,,0,0,7.6,11.2,98.1,1013.7,0,7.4,251.8,21.7,9,10,2022-10-27T06:03:47,2022-10-27T17:30:39,0.03,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-28,30.6,18.1,24,29.8,18.1,23.9,15.3,60.6,0,0,0,,0,0,11.5,7.6,313,1013.3,0.4,8.3,248.8,21.3,9,10,2022-10-28T06:04:15,2022-10-28T17:30:01,0.06,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-29,30.3,17.9,23.8,30.5,17.9,23.8,15.7,62.5,0,0,0,,0,0,11.2,9.4,14.1,1013.4,0,7.6,249.5,21.5,9,10,2022-10-29T06:04:43,2022-10-29T17:29:24,0.1,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-30,29.3,17.6,23,28.9,17.6,22.9,14.7,61.5,0,0,0,,0,0,10.1,13,22.1,1013.7,0,7.3,248.1,21.2,9,10,2022-10-30T06:05:11,2022-10-30T17:28:48,0.15,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-10-31,29.3,16.6,22.8,29.5,16.6,22.8,15.2,63.7,0,0,0,,0,0,9.7,13,45.4,1013.8,1.6,7.3,219.9,19,8,10,2022-10-31T06:05:41,2022-10-31T17:28:13,0.21,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-01,30.8,17.4,23.9,31.4,17.4,24.3,16.9,66,0,0,0,,0,0,12.2,7.6,22.3,1014.1,3.1,8,235.5,20.3,8,10,2022-11-01T06:06:10,2022-11-01T17:27:39,0.26,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-02,29.6,18.1,23.5,30.2,18.1,23.6,16.7,67.5,0,0,0,,0,0,12.6,14.8,56.3,1013.2,47.2,7.3,219.9,19,8,10,2022-11-02T06:06:41,2022-11-02T17:27:06,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-03,31.1,18.1,24,31.1,18.1,24,16.1,64.5,0,0,0,,0,0,10.1,9.4,60.1,1013,0,8,242.5,21,9,10,2022-11-03T06:07:11,2022-11-03T17:26:35,0.37,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-04,31.6,17.5,23.9,30.7,17.5,23.9,15.6,62.4,0,0,0,,0,0,7.2,7.6,191.4,1014.3,0,7.1,239.5,20.6,8,10,2022-11-04T06:07:43,2022-11-04T17:26:04,0.42,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-05,32.1,18.8,24.9,32.6,18.8,24.8,16,60.4,0,0,0,,0,0,7.6,9.4,197.3,1015.1,5.7,8.1,236.2,20.3,8,10,2022-11-05T06:08:15,2022-11-05T17:25:35,0.45,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-06,32.3,19.5,25.1,32.8,19.5,25.1,17,63.2,0,0,0,,0,0,9.4,9.4,234,1015,1.3,7.3,233.3,20.2,8,10,2022-11-06T06:08:47,2022-11-06T17:25:07,0.48,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-07,30.3,19.1,24.3,29.8,19.1,24.2,16.4,63.6,0,0,0,,0,0,11.9,11.2,358.6,1014.5,2.6,6.7,230,20,8,10,2022-11-07T06:09:20,2022-11-07T17:24:40,0.49,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-08,30.1,17.6,23.7,29.8,17.6,23.7,15.4,61.7,0,0,0,,0,0,9.4,11.2,45.9,1014.8,18.1,7.9,232.3,20.2,8,10,2022-11-08T06:09:53,2022-11-08T17:24:14,0.5,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-09,30.1,18.2,23.7,30.1,18.2,23.9,16.3,64.9,0,0,0,,0,0,10.4,9.4,73.3,1015,14.2,8.5,229.8,19.9,8,10,2022-11-09T06:10:27,2022-11-09T17:23:50,0.51,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-10,30.3,18.3,23.9,30.3,18.3,23.8,15.6,62.2,0,0,0,,0,0,15.8,18.4,44,1015.4,0.5,6.7,230.3,20.1,8,10,2022-11-10T06:11:01,2022-11-10T17:23:27,0.53,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-11,31.1,18.5,24.1,29.9,18.5,23.9,14.4,57.3,0,0,0,,0,0,20.2,22.3,50.3,1015.3,2.4,8,228,19.6,8,10,2022-11-11T06:11:36,2022-11-11T17:23:05,0.54,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-12,29.3,18.6,23.5,29.1,18.6,23.4,14.6,59.6,0,0,0,,0,0,15.1,11.2,32.8,1015.4,19.4,6.9,217.6,18.7,8,10,2022-11-12T06:12:11,2022-11-12T17:22:44,0.58,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-13,29.1,17.1,22.6,28.1,17.1,22.4,11.8,52.9,0,0,0,,0,0,11.5,11.2,41.7,1015.4,0.8,7.8,230.2,19.9,8,10,2022-11-13T06:12:46,2022-11-13T17:22:25,0.62,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-14,29.8,16.1,21.8,28.5,16.1,21.6,10.2,50.8,0,0,0,,0,0,10.4,14.8,57.7,1015.5,0.7,8,231.3,20,8,10,2022-11-14T06:13:22,2022-11-14T17:22:07,0.66,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-15,29.6,15.7,21.8,28.8,15.7,21.6,11,52.9,0,0,0,,0,0,9,13,343.2,1015.1,0.6,8.2,230.3,19.9,8,10,2022-11-15T06:13:59,2022-11-15T17:21:50,0.7,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-16,30.3,16.1,22.3,29.2,16.1,22.1,11.6,53.8,0,0,0,,0,0,6.8,7.6,0.8,1013.7,0,8,228,19.8,8,10,2022-11-16T06:14:35,2022-11-16T17:21:35,0.75,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42874099999"
Chhattisgarh,2022-11-17,30.1,16.7,22.9,28.9,16.7,22.7,11.9,52.7,0,0,0,,0,0,12.6,14.8,43.4,1013.2,1.8,7.2,225.1,19.3,8,10,2022-11-17T06:15:13,2022-11-17T17:21:21,0.8,Clear,Clear conditions throughout the day.,clear-day,"42948099999,42875099999,remote,42872099999,42876099999,42874099999"
Chhattisgarh,2022-11-18,27.4,15.9,21.2,26.9,15.9,21.1,9.9,49.6,0,0,0,,0,0,20.2,13.3,47.5,1014.4,25.6,24.1,218.8,19,8,10,2022-11-18T06:15:50,2022-11-18T17:21:08,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Chhattisgarh,2022-11-19,25.5,14.7,19.7,25.5,14.7,19.7,6,41.9,0,0,0,,0,0,16.2,11.2,39.7,1014.8,73.1,24.1,209.4,18,7,10,2022-11-19T06:16:28,2022-11-19T17:20:57,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Chhattisgarh,2022-11-20,25.8,13.1,19,25.8,13.1,19,5.2,41.7,0,0,0,,0,0,10.1,8.6,46.1,1013.5,54.1,24.1,218.8,18.9,8,10,2022-11-20T06:17:06,2022-11-20T17:20:47,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
tripura,2022-10-21,33,21.6,27.1,36.5,21.6,28.7,21.5,74,0,0,0,,0,0,17.6,7.6,12.3,1011.8,2.1,10.1,244.2,21.2,9,10,2022-10-21T05:24:46,2022-10-21T16:53:56,0.92,Clear,Clear conditions throughout the day.,clear-day,"42724099999,VEAT,remote"
tripura,2022-10-22,34,22.1,27.8,40.6,22.1,31.2,23,76.5,0,0,0,,0,0,16.2,7.6,23.4,1011.8,22.4,9.5,239.2,20.6,8,30,2022-10-22T05:25:16,2022-10-22T16:53:08,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,VEAT,remote"
tripura,2022-10-23,31,21.9,26.9,39.3,21.9,30.6,24.3,86.2,1,100,4.17,rain,0,0,9.7,7.2,22.6,1010.3,89,7.9,25.1,2.1,1,10,2022-10-23T05:25:45,2022-10-23T16:52:20,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42724099999,41915099999,VEAT,remote"
tripura,2022-10-24,26.2,20.1,22.1,26.2,20.1,22.1,21.5,96.6,73,100,25,rain,0,0,74.5,33.5,50.8,1004.2,99.8,4.4,5.3,0.4,0,10,2022-10-24T05:26:16,2022-10-24T16:51:34,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-25,27,20.2,23.2,29.6,20.2,23.3,21.7,91.6,4,100,8.33,rain,0,0,63,37.8,196.9,1007.7,77.5,8.6,164.7,14.2,7,10,2022-10-25T05:26:46,2022-10-25T16:50:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-26,29,19.9,24.2,32,19.9,25.2,21.3,84.7,0,0,0,rain,0,0,14,11.2,46.4,1013.2,18.4,8.8,236,20.4,8,10,2022-10-26T05:27:17,2022-10-26T16:50:04,0.01,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-27,30,19.5,24.2,33.3,19.5,25.2,20.8,82.7,0,0,0,,0,0,19.4,9.4,11.4,1012.4,7.2,9.1,238.9,20.7,8,10,2022-10-27T05:27:49,2022-10-27T16:49:20,0.03,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-28,30.1,18.6,24.1,35.1,18.6,25.6,21.1,84.5,0,0,0,,0,0,11.2,5.8,346.6,1011.2,20.3,7.8,236.6,20.3,8,10,2022-10-28T05:28:21,2022-10-28T16:48:37,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-29,31.4,19.3,25.3,37.7,19.3,27,21.9,82.4,0,0,0,,0,0,11.2,7.6,335.1,1011,15.4,8.9,233,20.1,8,10,2022-10-29T05:28:54,2022-10-29T16:47:56,0.1,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-30,32.9,20.9,27,42,20.9,30.6,23.8,83.5,0,0,0,,0,0,6.1,7.6,315.5,1011,21,8.9,225.5,19.4,8,30,2022-10-30T05:29:27,2022-10-30T16:47:15,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-10-31,33,22,27.4,40.7,22,31,23.9,82.2,0,0,0,,0,0,16.9,8.6,3.8,1011.2,19.2,8.8,220.6,19.2,8,60,2022-10-31T05:30:01,2022-10-31T16:46:36,0.21,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-01,33,22.1,26.9,38.1,22.1,29.5,23.5,83,0,0,0,,0,0,13.3,7.2,353.3,1011.8,27.3,8.2,224.2,19.4,8,30,2022-11-01T05:30:35,2022-11-01T16:45:58,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-02,32.3,21.9,26.9,39,21.9,29.4,22.7,78.7,0,0,0,,0,0,22.3,9,345.5,1010.5,21,8.4,215.5,18.6,8,30,2022-11-02T05:31:10,2022-11-02T16:45:21,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-03,29,21.2,25.1,32.8,21.2,26.5,21.8,82.3,0,0,0,,0,0,13.7,7.6,337.4,1010.7,59.1,8.7,186,16.2,8,10,2022-11-03T05:31:45,2022-11-03T16:44:45,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-04,31.6,19.4,24.7,37.8,19.4,26.1,20.9,80.1,0,0,0,,0,0,8.3,7.6,350.5,1012.4,20.3,8.2,221.5,19.3,8,30,2022-11-04T05:32:20,2022-11-04T16:44:10,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-05,32,20.3,26,36.5,20.3,28.2,22.2,80.8,0,0,0,,0,0,7.6,5.4,73.7,1013.9,21.9,7.4,220.4,19,8,30,2022-11-05T05:32:56,2022-11-05T16:43:36,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-06,33,20.8,26.4,39.4,20.8,28.5,22.3,79.3,0,0,0,rain,0,0,7.6,3.6,183.4,1014.2,21.5,8.5,218.9,18.9,8,30,2022-11-06T05:33:33,2022-11-06T16:43:04,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-07,31,20.4,25.8,34.6,20.4,27.2,21.2,77.1,0,0,0,,0,0,6.1,5.4,17.1,1013.8,22.5,8.3,219.6,18.9,8,10,2022-11-07T05:34:10,2022-11-07T16:42:33,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-08,31,19.7,25.1,33.7,19.7,26.4,20.9,78.7,0,0,0,,0,0,5.4,7.6,36.9,1013.7,31.9,8.6,220,19,8,10,2022-11-08T05:34:47,2022-11-08T16:42:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-09,31,19.1,24.8,33.3,19.1,25.6,19.3,73.2,0,0,0,,0,0,7.6,5.4,36,1013.7,38.3,8.7,220.3,19.2,8,10,2022-11-09T05:35:25,2022-11-09T16:41:35,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
tripura,2022-11-10,32.1,18.2,24.5,33.7,18.2,24.9,18.5,71.6,0,0,0,,0,0,9,5.4,27.3,1013.6,11.5,8.7,218,18.8,8,10,2022-11-10T05:36:03,2022-11-10T16:41:07,0.53,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
